Movie Name,link,year
Souvenir Strip of the Edison Kinetoscope,http://www.imdb.com/title/tt0203853/?ref_=adv_li_tt,1894
Sioux Ghost Dance,http://www.imdb.com/title/tt0326158/?ref_=adv_li_tt,1894
Annabelle Butterfly Dance,http://www.imdb.com/title/tt0229217/?ref_=adv_li_tt,1894
Leonard-Cushing Fight,http://www.imdb.com/title/tt0203646/?ref_=adv_li_tt,1894
See full summary,http://www.imdb.com/title/tt0203646/plotsummary?ref_=adv_pl,1894
Buffalo Dance,http://www.imdb.com/title/tt0309402/?ref_=adv_li_tt,1894
Falling Cat,http://www.imdb.com/title/tt2049440/?ref_=adv_li_tt,1894
The Cock Fight,http://www.imdb.com/title/tt0240423/?ref_=adv_li_tt,1894
Imperial Japanese Dance,http://www.imdb.com/title/tt0203581/?ref_=adv_li_tt,1894
"Cock Fight, No. 2",http://www.imdb.com/title/tt0243186/?ref_=adv_li_tt,1894
Mexican Knife Duel,http://www.imdb.com/title/tt1770702/?ref_=adv_li_tt,1894
Highland Dance,http://www.imdb.com/title/tt0229449/?ref_=adv_li_tt,1894
"Luis Martinetti, Contortionist",http://www.imdb.com/title/tt0277115/?ref_=adv_li_tt,1894
Dogs Fighting,http://www.imdb.com/title/tt0415756/?ref_=adv_li_tt,1894
Caicedo (with Pole),http://www.imdb.com/title/tt0241282/?ref_=adv_li_tt,1894
Summersault Dog,http://www.imdb.com/title/tt2174153/?ref_=adv_li_tt,1894
Crows on Saffron Hill,http://www.imdb.com/title/tt2152697/?ref_=adv_li_tt,1894
Bucking Broncho,http://www.imdb.com/title/tt0309396/?ref_=adv_li_tt,1894
"Organ Grinder, No. 1",http://www.imdb.com/title/tt0229628/?ref_=adv_li_tt,1894
"The Pickaninny Dance, from the 'Passing Show'",http://www.imdb.com/title/tt0285903/?ref_=adv_li_tt,1894
A Bar Room Scene,http://www.imdb.com/title/tt0240367/?ref_=adv_li_tt,1894
Walton and Slavin No. 3,http://www.imdb.com/title/tt2176029/?ref_=adv_li_tt,1894
"Amateur Gymnast, No. 2",http://www.imdb.com/title/tt0229209/?ref_=adv_li_tt,1894
Glenroy Brothers (Comic Boxing),http://www.imdb.com/title/tt0256782/?ref_=adv_li_tt,1894
Buffalo Bill,http://www.imdb.com/title/tt0229276/?ref_=adv_li_tt,1894
Mlle. Capitaine,http://www.imdb.com/title/tt2153901/?ref_=adv_li_tt,1894
Lasso Exhibition,http://www.imdb.com/title/tt2150355/?ref_=adv_li_tt,1894
Rêve au coin du feu,http://www.imdb.com/title/tt0413219/?ref_=adv_li_tt,1894
"Haycart Crossing Hadley Green, Middlesex",http://www.imdb.com/title/tt1199621/?ref_=adv_li_tt,1894
Ruth Dennis,http://www.imdb.com/title/tt0241906/?ref_=adv_li_tt,1894
The Carnival Dance,http://www.imdb.com/title/tt0275997/?ref_=adv_li_tt,1894
Cupid's Dance,http://www.imdb.com/title/tt0243203/?ref_=adv_li_tt,1894
Walton and Slavin No. 1,http://www.imdb.com/title/tt2174215/?ref_=adv_li_tt,1894
Whirlwind Gun Spinning,http://www.imdb.com/title/tt0242140/?ref_=adv_li_tt,1894
"Finale of 1st Act, Hoyt's 'Milk White Flag'",http://www.imdb.com/title/tt0229387/?ref_=adv_li_tt,1894
Trapeze,http://www.imdb.com/title/tt0242050/?ref_=adv_li_tt,1894
Armand D'Ary,http://www.imdb.com/title/tt0240349/?ref_=adv_li_tt,1894
The Widder,http://www.imdb.com/title/tt0416310/?ref_=adv_li_tt,1894
Human Pyramid,http://www.imdb.com/title/tt2151665/?ref_=adv_li_tt,1894
Annabelle Sun Dance,http://www.imdb.com/title/tt0241185/?ref_=adv_li_tt,1894
Edison Employee Picnic,http://www.imdb.com/title/tt0241398/?ref_=adv_li_tt,1894
Sandow No. 2,http://www.imdb.com/title/tt2161519/?ref_=adv_li_tt,1894
Fancy Club Swinger,http://www.imdb.com/title/tt0415789/?ref_=adv_li_tt,1894
Organ Grinder No. 2,http://www.imdb.com/title/tt2150421/?ref_=adv_li_tt,1894
French Dancers,http://www.imdb.com/title/tt0243268/?ref_=adv_li_tt,1894
Miss Lucy Murray,http://www.imdb.com/title/tt0285734/?ref_=adv_li_tt,1894
Alleni's Boxing Monkeys,http://www.imdb.com/title/tt2160073/?ref_=adv_li_tt,1894
Sword Combat,http://www.imdb.com/title/tt2152855/?ref_=adv_li_tt,1894
Band Drill,http://www.imdb.com/title/tt0229231/?ref_=adv_li_tt,1894
Babies in High Chairs,http://www.imdb.com/title/tt2160089/?ref_=adv_li_tt,1894
Lady Fencers (With Broadswords),http://www.imdb.com/title/tt2151713/?ref_=adv_li_tt,1894
Walton and Slavin No. 2,http://www.imdb.com/title/tt2176027/?ref_=adv_li_tt,1894
Men on Parallel Bars,http://www.imdb.com/title/tt0240721/?ref_=adv_li_tt,1894
Wonderful Performing Dog,http://www.imdb.com/title/tt2158875/?ref_=adv_li_tt,1894
Boxing,http://www.imdb.com/title/tt0240385/?ref_=adv_li_tt,1894
Lady Fencers (With Foils),http://www.imdb.com/title/tt2151715/?ref_=adv_li_tt,1894
Sandow No. 3,http://www.imdb.com/title/tt2161521/?ref_=adv_li_tt,1894
Walton and Slavin No. 4,http://www.imdb.com/title/tt2176031/?ref_=adv_li_tt,1894
Bertoldi (Mouth Support),http://www.imdb.com/title/tt0240372/?ref_=adv_li_tt,1894
Fred Ott Holding a Bird,http://www.imdb.com/title/tt0240514/?ref_=adv_li_tt,1894
Trained Bears,http://www.imdb.com/title/tt0240988/?ref_=adv_li_tt,1894
Rats and Weasel,http://www.imdb.com/title/tt2153937/?ref_=adv_li_tt,1894
Unsuccessful Somersault,http://www.imdb.com/title/tt0241019/?ref_=adv_li_tt,1894
See full summary,http://www.imdb.com/title/tt0241019/plotsummary?ref_=adv_pl,1894
Sheik Hadji Tahar,http://www.imdb.com/title/tt2152839/?ref_=adv_li_tt,1894
Rats and Terrier No. 2,http://www.imdb.com/title/tt2158709/?ref_=adv_li_tt,1894
Man of a Thousand Faces,http://www.imdb.com/title/tt2153887/?ref_=adv_li_tt,1894
Rat Killing,http://www.imdb.com/title/tt0243516/?ref_=adv_li_tt,1894
Dance du Ventre,http://www.imdb.com/title/tt0229323/?ref_=adv_li_tt,1894
Bertoldi (Table Contortion),http://www.imdb.com/title/tt0240373/?ref_=adv_li_tt,1894
The Wrestling Dog,http://www.imdb.com/title/tt0229857/?ref_=adv_li_tt,1894
Lasso Thrower,http://www.imdb.com/title/tt1770693/?ref_=adv_li_tt,1894
Oriental Dance,http://www.imdb.com/title/tt0285846/?ref_=adv_li_tt,1894
Toyou Kichi,http://www.imdb.com/title/tt2174205/?ref_=adv_li_tt,1894
May Lucas,http://www.imdb.com/title/tt2151737/?ref_=adv_li_tt,1894
Dance,http://www.imdb.com/title/tt0415735/?ref_=adv_li_tt,1894
Hadj Cheriff,http://www.imdb.com/title/tt0325518/?ref_=adv_li_tt,1894
Topack and Steele,http://www.imdb.com/title/tt0416260/?ref_=adv_li_tt,1894
Athlete with Wand,http://www.imdb.com/title/tt0240354/?ref_=adv_li_tt,1894
Rats and Terrier No. 3,http://www.imdb.com/title/tt2158711/?ref_=adv_li_tt,1894
Fire Rescue Scene,http://www.imdb.com/title/tt0205065/?ref_=adv_li_tt,1894
Chinese Laundry Scene,http://www.imdb.com/title/tt0229300/?ref_=adv_li_tt,1894
Wrestling Match,http://www.imdb.com/title/tt0229858/?ref_=adv_li_tt,1894
See full summary,http://www.imdb.com/title/tt0229858/plotsummary?ref_=adv_pl,1894
Caicedo (with Spurs),http://www.imdb.com/title/tt0241283/?ref_=adv_li_tt,1894
Boxing Match,http://www.imdb.com/title/tt0240386/?ref_=adv_li_tt,1894
The Hornbacker-Murphy Fight,http://www.imdb.com/title/tt0477315/?ref_=adv_li_tt,1894
See full summary,http://www.imdb.com/title/tt0477315/plotsummary?ref_=adv_pl,1894
"Glenroy Bros., No. 2",http://www.imdb.com/title/tt0312728/?ref_=adv_li_tt,1894
La Sortie de l'Usine Lumière à Lyon (le Premier Film),http://www.imdb.com/title/tt0000010/?ref_=adv_li_tt,1895
See full summary,http://www.imdb.com/title/tt0000010/plotsummary?ref_=adv_pl,1895
L'arroseur arrosé,http://www.imdb.com/title/tt0000014/?ref_=adv_li_tt,1895
See full summary,http://www.imdb.com/title/tt0000014/plotsummary?ref_=adv_pl,1895
"The Execution of Mary, Queen of Scots",http://www.imdb.com/title/tt0132134/?ref_=adv_li_tt,1895
Repas de bébé,http://www.imdb.com/title/tt0000029/?ref_=adv_li_tt,1895
See full summary,http://www.imdb.com/title/tt0000029/plotsummary?ref_=adv_pl,1895
Neuville-sur-Saône: Débarquement du congrès des photographes à Lyon,http://www.imdb.com/title/tt0000013/?ref_=adv_li_tt,1895
See full summary,http://www.imdb.com/title/tt0000013/plotsummary?ref_=adv_pl,1895
Barque sortant du port,http://www.imdb.com/title/tt0000016/?ref_=adv_li_tt,1895
See full summary,http://www.imdb.com/title/tt0000016/plotsummary?ref_=adv_pl,1895
La charcuterie mécanique,http://www.imdb.com/title/tt0212052/?ref_=adv_li_tt,1895
The Gay Brothers,http://www.imdb.com/title/tt0219008/?ref_=adv_li_tt,1895
Annabelle Serpentine Dance,http://www.imdb.com/title/tt0154152/?ref_=adv_li_tt,1895
Place des Cordeliers à Lyon,http://www.imdb.com/title/tt0000027/?ref_=adv_li_tt,1895
See full summary,http://www.imdb.com/title/tt0000027/plotsummary?ref_=adv_pl,1895
Les forgerons,http://www.imdb.com/title/tt0000022/?ref_=adv_li_tt,1895
See full summary,http://www.imdb.com/title/tt0000022/plotsummary?ref_=adv_pl,1895
Baignade en mer,http://www.imdb.com/title/tt0000023/?ref_=adv_li_tt,1895
Opening of the Kiel Canal,http://www.imdb.com/title/tt0000024/?ref_=adv_li_tt,1895
La voltige,http://www.imdb.com/title/tt0000033/?ref_=adv_li_tt,1895
See full summary,http://www.imdb.com/title/tt0000033/plotsummary?ref_=adv_pl,1895
La pêche aux poissons rouges,http://www.imdb.com/title/tt0000028/?ref_=adv_li_tt,1895
See full summary,http://www.imdb.com/title/tt0000028/plotsummary?ref_=adv_pl,1895
Photographe,http://www.imdb.com/title/tt0222271/?ref_=adv_li_tt,1895
See full summary,http://www.imdb.com/title/tt0222271/plotsummary?ref_=adv_pl,1895
The Oxford and Cambridge University Boat Race,http://www.imdb.com/title/tt0000025/?ref_=adv_li_tt,1895
See full summary,http://www.imdb.com/title/tt0000025/plotsummary?ref_=adv_pl,1895
Akrobatisches Potpourri,http://www.imdb.com/title/tt0000011/?ref_=adv_li_tt,1895
The Derby 1895,http://www.imdb.com/title/tt0000020/?ref_=adv_li_tt,1895
See full summary,http://www.imdb.com/title/tt0000020/plotsummary?ref_=adv_pl,1895
Le saut à la couverture,http://www.imdb.com/title/tt0000031/?ref_=adv_li_tt,1895
See full summary,http://www.imdb.com/title/tt0000031/plotsummary?ref_=adv_pl,1895
Das boxende Känguruh,http://www.imdb.com/title/tt0000018/?ref_=adv_li_tt,1895
Chapeaux à transformations,http://www.imdb.com/title/tt0221874/?ref_=adv_li_tt,1895
See full summary,http://www.imdb.com/title/tt0221874/plotsummary?ref_=adv_pl,1895
Princess Ali,http://www.imdb.com/title/tt0229665/?ref_=adv_li_tt,1895
The German Emperor Reviewing His Troops,http://www.imdb.com/title/tt0229410/?ref_=adv_li_tt,1895
Die Serpentintänzerin,http://www.imdb.com/title/tt0000032/?ref_=adv_li_tt,1895
Discussion de Monsieur Janssen et de Monsieur Lagrange,http://www.imdb.com/title/tt0221913/?ref_=adv_li_tt,1895
Silver Dance,http://www.imdb.com/title/tt0286110/?ref_=adv_li_tt,1895
New Bar Room,http://www.imdb.com/title/tt0276357/?ref_=adv_li_tt,1895
See full summary,http://www.imdb.com/title/tt0276357/plotsummary?ref_=adv_pl,1895
Young Griffo v. Battling Charles Barnett,http://www.imdb.com/title/tt0243675/?ref_=adv_li_tt,1895
New Barber's Shop,http://www.imdb.com/title/tt2185463/?ref_=adv_li_tt,1895
Aquarium,http://www.imdb.com/title/tt2151541/?ref_=adv_li_tt,1895
"Lyon, place Bellecour",http://www.imdb.com/title/tt0222170/?ref_=adv_li_tt,1895
Le maréchal-ferrant,http://www.imdb.com/title/tt0222182/?ref_=adv_li_tt,1895
Le déjeuner du chat,http://www.imdb.com/title/tt0221929/?ref_=adv_li_tt,1895
Italienischer Bauerntanz,http://www.imdb.com/title/tt0000017/?ref_=adv_li_tt,1895
"Robetta and Doretto, No. 3",http://www.imdb.com/title/tt0416194/?ref_=adv_li_tt,1895
"Tom Merry, Lightning Cartoonist II",http://www.imdb.com/title/tt0435464/?ref_=adv_li_tt,1895
Umbrella Dance,http://www.imdb.com/title/tt0229807/?ref_=adv_li_tt,1895
Pompiers: Attaque du feu,http://www.imdb.com/title/tt2158697/?ref_=adv_li_tt,1895
Joan of Arc,http://www.imdb.com/title/tt0229494/?ref_=adv_li_tt,1895
"Robetta and Doretto, No. 1",http://www.imdb.com/title/tt0416193/?ref_=adv_li_tt,1895
Dr. Colton or Dentist Scene,http://www.imdb.com/title/tt1496763/?ref_=adv_li_tt,1895
Bocal aux poissons-rouges,http://www.imdb.com/title/tt0221833/?ref_=adv_li_tt,1895
See full summary,http://www.imdb.com/title/tt0221833/plotsummary?ref_=adv_pl,1895
"James Grundy, Cake Walk",http://www.imdb.com/title/tt0229489/?ref_=adv_li_tt,1895
Billy Edwards and the Unknown,http://www.imdb.com/title/tt0477266/?ref_=adv_li_tt,1895
Wintergartenprogramm,http://www.imdb.com/title/tt1754898/?ref_=adv_li_tt,1895
See full summary,http://www.imdb.com/title/tt1754898/plotsummary?ref_=adv_pl,1895
Trilby Hypnotic Scene,http://www.imdb.com/title/tt2154007/?ref_=adv_li_tt,1895
"The Rixfords, No. 1",http://www.imdb.com/title/tt0416190/?ref_=adv_li_tt,1895
Charge of the Uhlans,http://www.imdb.com/title/tt0281711/?ref_=adv_li_tt,1895
"Clovelly Cottage, Barnet",http://www.imdb.com/title/tt2191649/?ref_=adv_li_tt,1895
John W. Wilson and Bertha Waring,http://www.imdb.com/title/tt0415902/?ref_=adv_li_tt,1895
Untitled Kinetoscope Comedy,http://www.imdb.com/title/tt1162138/?ref_=adv_li_tt,1895
"Tom Merry, Lightning Cartoonist",http://www.imdb.com/title/tt0188240/?ref_=adv_li_tt,1895
The Sausage Machine,http://www.imdb.com/title/tt0229698/?ref_=adv_li_tt,1895
S.A.R. il Principe di Napoli e la Principessa Elena visitano il battistero di S. Giovanni a Firenze,http://www.imdb.com/title/tt2150453/?ref_=adv_li_tt,1895
The Arrest of a Bookmaker,http://www.imdb.com/title/tt0192982/?ref_=adv_li_tt,1895
The Arrest of a Pickpocket,http://www.imdb.com/title/tt0187702/?ref_=adv_li_tt,1895
M. Lumière Receiving Guests,http://www.imdb.com/title/tt0229544/?ref_=adv_li_tt,1895
"Elsie Jones, No. 2",http://www.imdb.com/title/tt0415776/?ref_=adv_li_tt,1895
"The Rixfords, No. 2",http://www.imdb.com/title/tt0416191/?ref_=adv_li_tt,1895
Indian Scalping Scene,http://www.imdb.com/title/tt2158549/?ref_=adv_li_tt,1895
Partie de tric-trac,http://www.imdb.com/title/tt0222259/?ref_=adv_li_tt,1895
Elsie Jones,http://www.imdb.com/title/tt0415775/?ref_=adv_li_tt,1895
Venice: The Rialto Bridge,http://www.imdb.com/title/tt2151901/?ref_=adv_li_tt,1895
Niagara Falls in Winter: The Waterfall,http://www.imdb.com/title/tt2158657/?ref_=adv_li_tt,1895
Départ en voiture,http://www.imdb.com/title/tt0221930/?ref_=adv_li_tt,1895
Smith and Machinery at Work,http://www.imdb.com/title/tt0282172/?ref_=adv_li_tt,1895
Récréation à la Martinière,http://www.imdb.com/title/tt0222336/?ref_=adv_li_tt,1895
Schlusssteinlegung des Kaiser Wilhelm Kanals,http://www.imdb.com/title/tt2205601/?ref_=adv_li_tt,1895
Rescue of Capt. John Smith by Pocahontas,http://www.imdb.com/title/tt2182091/?ref_=adv_li_tt,1895
Young Weimer,http://www.imdb.com/title/tt2179293/?ref_=adv_li_tt,1895
Rob Roy,http://www.imdb.com/title/tt2152823/?ref_=adv_li_tt,1895
Quartette,http://www.imdb.com/title/tt0229671/?ref_=adv_li_tt,1895
Apotheose,http://www.imdb.com/title/tt0122381/?ref_=adv_li_tt,1895
See full summary,http://www.imdb.com/title/tt0122381/plotsummary?ref_=adv_pl,1895
Dance of Rejoicing,http://www.imdb.com/title/tt0229324/?ref_=adv_li_tt,1895
Gladiatorial Combat,http://www.imdb.com/title/tt2151639/?ref_=adv_li_tt,1895
Niagara Falls: Close to the Waterfall,http://www.imdb.com/title/tt2158659/?ref_=adv_li_tt,1895
"James Grundy, Buck and Wing",http://www.imdb.com/title/tt2158561/?ref_=adv_li_tt,1895
Muscle Dance,http://www.imdb.com/title/tt2184241/?ref_=adv_li_tt,1895
Ringkämpfer,http://www.imdb.com/title/tt0405123/?ref_=adv_li_tt,1895
New Blacksmith Shop,http://www.imdb.com/title/tt2151751/?ref_=adv_li_tt,1895
Short Stick Dance,http://www.imdb.com/title/tt0286096/?ref_=adv_li_tt,1895
Trilby Death Scene,http://www.imdb.com/title/tt2150537/?ref_=adv_li_tt,1895
Niagara Falls: The Great Whirlpool,http://www.imdb.com/title/tt2158661/?ref_=adv_li_tt,1895
"Broadway, New York",http://www.imdb.com/title/tt2194525/?ref_=adv_li_tt,1895
Krieger-Parade,http://www.imdb.com/title/tt2174043/?ref_=adv_li_tt,1895
Fan Dance,http://www.imdb.com/title/tt2160167/?ref_=adv_li_tt,1895
Hindoostan Fakir and Cotta Dwarf,http://www.imdb.com/title/tt2161377/?ref_=adv_li_tt,1895
Steamer 'New York' in Dock,http://www.imdb.com/title/tt2184283/?ref_=adv_li_tt,1895
"Suvier Entering the Baltic Canal, Hamburg",http://www.imdb.com/title/tt2174155/?ref_=adv_li_tt,1895
Paddle Dance,http://www.imdb.com/title/tt0285863/?ref_=adv_li_tt,1895
Cricketer Jumping Over Garden Gate,http://www.imdb.com/title/tt2151575/?ref_=adv_li_tt,1895
Duel Between Two Historical Characters,http://www.imdb.com/title/tt2181927/?ref_=adv_li_tt,1895
Komisches Reck,http://www.imdb.com/title/tt0453128/?ref_=adv_li_tt,1895
A Frontier Scene,http://www.imdb.com/title/tt2188651/?ref_=adv_li_tt,1895
Der Jongleur,http://www.imdb.com/title/tt0453118/?ref_=adv_li_tt,1895
Grotesque Tumbling,http://www.imdb.com/title/tt2160203/?ref_=adv_li_tt,1895
Trilby Dance,http://www.imdb.com/title/tt2152883/?ref_=adv_li_tt,1895
Shoeblack at Work in a London Street,http://www.imdb.com/title/tt0282161/?ref_=adv_li_tt,1895
Laying the First Stone on Kaiser Wilhelm's Memorial,http://www.imdb.com/title/tt2153867/?ref_=adv_li_tt,1895
Highgate Tunnel: Goods Train,http://www.imdb.com/title/tt2177581/?ref_=adv_li_tt,1895
Cyclone Dance,http://www.imdb.com/title/tt2153805/?ref_=adv_li_tt,1895
Der Kaiser auf der Kommandobrücke der Hohenzollern,http://www.imdb.com/title/tt2188719/?ref_=adv_li_tt,1895
Kamarinskaja,http://www.imdb.com/title/tt0453121/?ref_=adv_li_tt,1895
La mer par gros temps,http://www.imdb.com/title/tt2150349/?ref_=adv_li_tt,1895
Kaiser-Parade auf dem Tempelhofer Felde,http://www.imdb.com/title/tt2160245/?ref_=adv_li_tt,1895
Steamer on Long Island Sound,http://www.imdb.com/title/tt2153961/?ref_=adv_li_tt,1895
German Emperor at Hamburg,http://www.imdb.com/title/tt2151635/?ref_=adv_li_tt,1895
Attilla No. 2,http://www.imdb.com/title/tt2173971/?ref_=adv_li_tt,1895
Steam Yacht at the Canal Entrance,http://www.imdb.com/title/tt2188895/?ref_=adv_li_tt,1895
Grundy and Frint,http://www.imdb.com/title/tt2160205/?ref_=adv_li_tt,1895
"Street Scene in Winter in Montreal, Canada",http://www.imdb.com/title/tt2150489/?ref_=adv_li_tt,1895
Parade der Veteranen des deutsch-franz Krieges,http://www.imdb.com/title/tt2160327/?ref_=adv_li_tt,1895
Elevated Railway in the Streets of New York,http://www.imdb.com/title/tt2185375/?ref_=adv_li_tt,1895
Opera Scene,http://www.imdb.com/title/tt2150419/?ref_=adv_li_tt,1895
Professor Attilla,http://www.imdb.com/title/tt2174105/?ref_=adv_li_tt,1895
The Arrival of a Train,http://www.imdb.com/title/tt0000012/?ref_=adv_li_tt,1896
See full summary,http://www.imdb.com/title/tt0000012/plotsummary?ref_=adv_pl,1896
Le manoir du diable,http://www.imdb.com/title/tt0000091/?ref_=adv_li_tt,1896
Coucher de la mariée,http://www.imdb.com/title/tt1728115/?ref_=adv_li_tt,1896
The Kiss,http://www.imdb.com/title/tt0139738/?ref_=adv_li_tt,1896
Séance de prestidigitation,http://www.imdb.com/title/tt0000123/?ref_=adv_li_tt,1896
Engine and Pump,http://www.imdb.com/title/tt0203480/?ref_=adv_li_tt,1896
Démolition d'un mur,http://www.imdb.com/title/tt0000070/?ref_=adv_li_tt,1896
See full summary,http://www.imdb.com/title/tt0000070/plotsummary?ref_=adv_pl,1896
Arroseur et arrosé,http://www.imdb.com/title/tt1184937/?ref_=adv_li_tt,1896
See full summary,http://www.imdb.com/title/tt1184937/plotsummary?ref_=adv_pl,1896
Escamotage d'une dame au théâtre Robert Houdin,http://www.imdb.com/title/tt0000075/?ref_=adv_li_tt,1896
Partie d'écarté,http://www.imdb.com/title/tt0000026/?ref_=adv_li_tt,1896
Le cauchemar,http://www.imdb.com/title/tt0222946/?ref_=adv_li_tt,1896
See full summary,http://www.imdb.com/title/tt0222946/plotsummary?ref_=adv_pl,1896
Awakening of Rip,http://www.imdb.com/title/tt0000036/?ref_=adv_li_tt,1896
La fée aux choux,http://www.imdb.com/title/tt0223341/?ref_=adv_li_tt,1896
See full summary,http://www.imdb.com/title/tt0223341/plotsummary?ref_=adv_pl,1896
Danse serpentine,http://www.imdb.com/title/tt1219047/?ref_=adv_li_tt,1896
Une nuit terrible,http://www.imdb.com/title/tt0000131/?ref_=adv_li_tt,1896
Arrivée d'un train à Perrache,http://www.imdb.com/title/tt1184936/?ref_=adv_li_tt,1896
Une partie de cartes,http://www.imdb.com/title/tt0000132/?ref_=adv_li_tt,1896
See full summary,http://www.imdb.com/title/tt0000132/plotsummary?ref_=adv_pl,1896
Rip Passing Over the Mountain,http://www.imdb.com/title/tt0000110/?ref_=adv_li_tt,1896
Danse serpentine,http://www.imdb.com/title/tt0000062/?ref_=adv_li_tt,1896
Sandow,http://www.imdb.com/title/tt1428455/?ref_=adv_li_tt,1896
See full summary,http://www.imdb.com/title/tt1428455/plotsummary?ref_=adv_pl,1896
Dix chapeaux en 60 secondes,http://www.imdb.com/title/tt0000067/?ref_=adv_li_tt,1896
"McKinley at Home, Canton, Ohio",http://www.imdb.com/title/tt0203681/?ref_=adv_li_tt,1896
See full summary,http://www.imdb.com/title/tt0203681/plotsummary?ref_=adv_pl,1896
Feeding the Doves,http://www.imdb.com/title/tt0203492/?ref_=adv_li_tt,1896
Fatima's Coochee-Coochee Dance,http://www.imdb.com/title/tt0285087/?ref_=adv_li_tt,1896
